ducc_info,test_flag,ba_abbreviation
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""伟星工业（越南）有限公司"",""clientCode"":""j6CniHYFPcFd4UtidnEC"",""briefCode"":""WXC"",""contractCode"":""ISPG-20241016102816"",""ebsContractCode"":""EKA20240013367"",""pin"":""SABPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-WXC"",""companyType"":""2"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1""},""storeId"":24682489,""iopPin"":""VNKUAJING"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH C?NG NGHI?P SAB (VI?T NAM)"",""customerAddress"":""L? ??t CN - 03, Nam Khu A, Khu c?ng nghi?p B?m S?n, Ph??ng B?c S?n, Th? x? B?m S?n, T?nh Thanh Hoá, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""伟星工业（越南）有限公司"",""customerNameEn"":""SAB INDUSTRIAL (VIETNAM) COMPANY LIMITED"",""customerTax"":""2802832493"",""customerServiceStart"":""2024-07-29"",""customerServiceEnd"":""2025-07-28""}",0,越南 - 伟星
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""BYD Electric Bus and Truck Hungary Kft."",""clientCode"":""dhzDx0alXL0T9LQGogZW"",""briefCode"":"""",""contractCode"":""ISPG-20241030220855"",""ebsContractCode"":"""",""pin"":""比亚迪电池-采购"",""country"":""HU"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""EUR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":"""",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""国际-匈牙利站"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""英文""},""countryNameMap"":{""zh"":""匈牙利站"",""en"":""Hungary Station""},""customerNameVn"":"""",""customerAddress"":""Hungary, Budapest, Fót, Telkes Mária út 2, 2151, Building 1,Unit A"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""比亚迪匈牙利电动大巴和卡车有限公司"",""customerNameEn"":""BYD Electric Bus and Truck Hungary Kft."",""customerTax"":""13441029-2-11"",""customerServiceStart"":"""",""customerServiceEnd"":""""}",0,匈牙利 - 比亚迪大巴厂
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""Multi-Fineline Electronic (Thailand)Co.,Ltd."",""clientCode"":""Mpnb6A8H5KjAYruIJGKI"",""briefCode"":""Multi-Fineline"",""contractCode"":""ISPG-20241101130143"",""ebsContractCode"":"""",""pin"":""Jihailing-MFLEX"",""country"":""TH"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDITH-Multi-Fineline"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi_Thailand1"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""英文"",""th"":""泰语""},""countryNameMap"":{""zh"":""泰国站"",""en"":""Thailand Station"",""th"":""?????????""},""customerNameVn"":"""",""customerAddress"":""265/27 ???????????????????? ?????????? ??2 ??? ??6 ??????? 3 ?????????? ???????????? ?.?????? 20230"",""jdContractName"":""维信电子（泰国）有限公司"",""jdContractAddress"":"""",""customerNameZh"":""维信电子（泰国）有限公司"",""customerNameEn"":""Multi-Fineline Electronic (Thailand)Co.,Ltd."",""customerTax"":""205566036951"",""customerServiceStart"":"""",""customerServiceEnd"":""""}",0,泰国 - 东山精密
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""SNOW COAST VIETNAM COMPANY LIMITED"",""clientCode"":""MnBCkR3xGkOBhqEP69ap"",""briefCode"":""SC"",""contractCode"":""ISPG-20241104181125"",""ebsContractCode"":""EKA2024A1458864"",""pin"":""BothPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-SC"",""companyType"":""2"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1""},""storeId"":24682489,""iopPin"":""VNKUAJING"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH SNOW COAST(VI?T NAM)"",""customerAddress"":""L? CN 03, C?m c?ng nghi?p Th?ng Nh?t, X? Th?ng Nh?t, Huy?n H?ng Hà, T?nh Thái Bình, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""雪海岸（越南）有限公司"",""customerNameEn"":""SNOW COAST VIETNAM COMPANY LIMITED"",""customerTax"":""1001267495"",""customerServiceStart"":""2024-10-21"",""customerServiceEnd"":""2025-10-20"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""wangyan138"",""审批人3"":""thanhthao.truongth1""}}",0,越南 - 天羽美岸
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""COSMX TECHNOLOGY MALAYSIA SDN. BHD."",""clientCode"":""H1oDuuwqypavxHBvWcfw"",""briefCode"":""Cosmx"",""contractCode"":""ISPG-20241016150418"",""ebsContractCode"":"""",""pin"":""CosmxMY"",""country"":""MY"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""MYR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDI-Cosmx-MY"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi马来内贸段交易"",""hoursOfAutoFinish"":168,""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""马来西亚站"",""en"":""Malaysia Station"",""ms"":""Stesen Malaysia""},""customerNameVn"":"""",""customerAddress"":""Lot 5804, Mukim 01, Kawasan Perusahaan Bebas Perai, 13600 Perai Pulau Pinang"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""COSMX科技（马来西亚）有限公司"",""customerNameEn"":""COSMX TECHNOLOGY MALAYSIA SDN. BHD."",""customerTax"":""202401037187(1583034-M)"",""customerServiceStart"":""2024-10-01"",""customerServiceEnd"":""2027-08-16"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""chiamin.ng1"",""审批人3"":""chenjiaoru""}}",0,马来 - 珠海冠宇
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""马来伟创力"",""clientCode"":""Xs4xJzWiros72q3IHEgz"",""briefCode"":""Flex-MY"",""contractCode"":""ISPG-20240920213052"",""ebsContractCode"":"""",""pin"":""Flex89"",""country"":""MY"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""MYR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDI-Flex-MY"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi马来内贸段交易"",""hoursOfAutoFinish"":168,""language"":{""zh"":""中文"",""en"":""英文""},""countryNameMap"":{""zh"":""马来西亚站"",""en"":""Malaysia Station"",""ms"":""Stesen Malaysia""},""customerNameVn"":""Flextronics Technology Penang Sdn Bhd"",""customerAddress"":""PLOT 13, PHASE IV PRAI INDUSTRIAL ESTATE PRAI PULAU PINANG"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""马来伟创力"",""customerNameEn"":""Flextronics Technology Penang Sdn Bhd"",""customerTax"":""199001010222 (201794-V)"",""customerServiceStart"":"""",""customerServiceEnd"":""""}",0,马来 - Flex
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""Yunlu Ems Tec(Thailand) Company Limited"",""clientCode"":""qMYvcJUUhL1JvtIXaWs4"",""briefCode"":""yunluet"",""contractCode"":""ISPG-20241118181305"",""ebsContractCode"":""EKA2024A2057915"",""pin"":""maliangliang-yunluet"",""country"":""TH"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDITH-yunluet"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi_Thailand1"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""英文"",""th"":""泰语""},""countryNameMap"":{""zh"":""泰国站"",""en"":""Thailand Station"",""th"":""?????????""},""customerNameVn"":"""",""customerAddress"":""265/27 ???????????????????? ?????????? ??2 ??? ??6 ??????? 3 ?????????? ???????????? ?.?????? 20230"",""jdContractName"":""云路新能源（泰国）"",""jdContractAddress"":"""",""customerNameZh"":""云路新能源科技（泰国）有限公司"",""customerNameEn"":""Yunlu Ems Tec(Thailand) Company Limited"",""customerTax"":"""",""customerServiceStart"":""2024-11-12"",""customerServiceEnd"":""2027-11-12"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""sunyaning8"",""审批人3"":""pithak.vatmon1""}}",0,泰国 - 云路新能源
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""PT JINGDONG INDUSTRIALS INDONESIA"",""clientCode"":""HRUCfLkcBLCXesTWZal3"",""briefCode"":""BYDE-TEST"",""contractCode"":""ISPG-20241106203317"",""ebsContractCode"":"""",""pin"":""IDPurchasing1"",""country"":""ID"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""IDR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIID-BYDE-TEST"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi印尼站"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""English"",""id"":""Indonesia""},""countryNameMap"":{""zh"":""印尼站"",""en"":""Indonesia Station"",""id"":""Stasiun Indonesia""},""customerNameVn"":"""",""customerAddress"":""WORLDTRADECENTER5,7THFLOOR,JALANJENDER KARET,SETIABUDI，KOTAADM.JAKARTA SELATAN DKI JAKARTA"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""京东工业印尼有限公司"",""customerNameEn"":""PT JINGDONG INDUSTRIALS INDONESIA"",""customerTax"":""0039605431011000"",""customerServiceStart"":"""",""customerServiceEnd"":"""",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""liaoyonge1""}}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""SBH KIBING SILICON MATERIAL (M) SDN BHD"",""clientCode"":""JDVdCGnkbYoZeX2jA4AL"",""briefCode"":""KIBING"",""contractCode"":""ISPG-20241129135903"",""ebsContractCode"":"""",""pin"":""沙巴砂矿Sunny"",""country"":""MY"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""MYR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDI-KIBING"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""JDi马来内贸段交易"",""hoursOfAutoFinish"":168,""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""马来西亚站"",""en"":""Malaysia Station"",""ms"":""Stesen Malaysia""},""customerNameVn"":""SBH KIBING SILICON MATERIAL (M) SDN BHD"",""customerAddress"":""LOT SH3A, FIRST FLOOR,SHOP LOT, TAMAN FRIENDLY GARDEN 3B, KUDAT SABAH"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""SBH KIBING SILICON MATERIAL (M) SDN BHD"",""customerNameEn"":""SBH KIBING SILICON MATERIAL (M) SDN BHD"",""customerTax"":""202201001793"",""customerServiceStart"":""2024-11-20"",""customerServiceEnd"":""2025-11-19"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""chiamin.ng1"",""审批人3"":""chenjiaoru""},""merchantId"":""10153""}",0,马来 - 旗滨
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""INTCO INDUSTRIES VIETNAM CO., LTD"",""clientCode"":""G3DKXgtvBR4IbAbT1AGM"",""briefCode"":""INTCO"",""contractCode"":""ISPG-20241204144151"",""ebsContractCode"":"""",""pin"":""英科采购账号1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-INTCO"",""companyType"":""1"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""VNKUAJING"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Tr?m Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH C?NG NGHI?P INTCO VI?T NAM"",""customerAddress"":""L? CN - 01 /02 và CN - 01/03 Nam Khu A, KCN B?m S?n, Ph??ng B?c S?n, Th? x? B?m S?n, T?nh Thanh Hoá, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""INTCO INDUSTRIES VIETNAM CO., LTD"",""customerNameEn"":""INTCO INDUSTRIES VIETNAM CO., LTD"",""customerTax"":""2802798997"",""customerServiceStart"":"""",""customerServiceEnd"":"""",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""wangyan138"",""审批人3"":""thanhthao.truongth1""},""merchantId"":""10153""}",0,越南 - 英科
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""PT BYD AUTO INDONESIA"",""clientCode"":""LjGrCLmPLGKS55CiuHs0"",""briefCode"":""JDIID-BYDE"",""contractCode"":""ISPG-20241107151437"",""ebsContractCode"":"""",""pin"":"""",""country"":""ID"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""IDR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIID-BYDE"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi印尼站"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""English"",""id"":""Indonesia""},""countryNameMap"":{""zh"":""印尼站"",""en"":""Indonesia Station"",""id"":""Stasiun Indonesia""},""customerNameVn"":"""",""customerAddress"":""WORLDTRADECENTER5,7THFLOOR,JALANJENDER KARET,SETIABUDI，KOTAADM.JAKARTA SELATAN DKI JAKARTA"",""jdContractName"":""京东工业印尼有限公司"",""jdContractAddress"":""PT JINGDONG INDUSTRIALS INDONESIA"",""customerNameZh"":"""",""customerNameEn"":""PT BYD AUTO INDONESIA"",""customerTax"":""0039605431011000"",""customerServiceStart"":"""",""customerServiceEnd"":"""",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""liaoyonge1""}}",0,印尼 - 比亚迪
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""GAIN LUCKY (VIET NAM) LIMITED"",""clientCode"":""0yAtHUNwO2d50B7D5GH3"",""briefCode"":""GAIN LUCKY"",""contractCode"":""ISPG-20241210172443"",""ebsContractCode"":""EKA2024A1950763"",""pin"":""ShenZhou-Purchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-GAIN LUCKY"",""companyType"":""1"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""VNKUAJING"",""iopId"":""4"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Tr?m Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH GAIN LUCKY (VI?T NAM)"",""customerAddress"":""L? s? 40-6 ???ng N14, khu c?ng nghi?p Ph??c ??ng, X? Ph??c ??ng, Huy?n Gò D?u, T?nh T?y Ninh, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""GAIN LUCKY (VIET NAM) LIMITED"",""customerNameEn"":""GAIN LUCKY (VIET NAM) LIMITED"",""customerTax"":""3901166775"",""customerServiceStart"":""2024-11-11"",""customerServiceEnd"":""2025-11-10"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""wangyan138"",""审批人3"":""thanhthao.truongth1""},""merchantId"":""10153""}",0,越南 - 德利
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""BOVIET HAI DUONG SOLAR TECHNOLOGY CO.,LTD"",""clientCode"":""Bmh7d0h5eel6cyG07LnQ"",""briefCode"":""BOVIET-HD"",""contractCode"":""ISPG-20241211215546"",""ebsContractCode"":"""",""pin"":""BOVIETHD-Purchasing"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-BOVIET-HD"",""companyType"":""1"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""VNKUAJING"",""iopId"":""4"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Tr?m Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH KHOA H?C K? THU?T N?NG L??NG M?T TR?I BOVIET H?I D??NG"",""customerAddress"":""B6.1, KCN C?NG H?A, Ph??ng C?ng Hòa, Thành ph? Chí Linh, T?nh H?i D??ng, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""BOVIET HAI DUONG SOLAR TECHNOLOGY CO.,LTD"",""customerNameEn"":""BOVIET HAI DUONG SOLAR TECHNOLOGY CO.,LTD"",""customerTax"":""0801410230"",""customerServiceStart"":"""",""customerServiceEnd"":"""",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""wangyan138"",""审批人3"":""thanhthao.truongth1""},""merchantId"":""10153""}",0,越南 - 博威尔特海阳
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""SUNWODA AUTOMOTIVE ENERGY TECHNOLOGY (THAILAND) CO.,LTD."",""clientCode"":""EJigfasu6Pml0mLtWjFi"",""briefCode"":""SUNWODA-TH"",""contractCode"":""ISPG-20241210145844"",""ebsContractCode"":""EKA2024A2639477"",""pin"":""Barui-SUNWODA"",""country"":""TH"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDITH-SUNWODA-TH"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false,""buyerName"":""SUNWODA AUTOMOTIVE ENERGY TECHNOLOGY (THAILAND) CO.,LTD."",""buyerTaxNo"":""0205567024124"",""buyerAddress"":""No. 270, Village No. 4, Nong Suea Chang Subdistrict, Nong Yai District, Chonburi Province,THailand"",""customerCompanyProperty"":""Head Office"",""nameMaxSize"":255},""storeId"":24682489,""iopPin"":""JDi_Thailand1"",""iopId"":""2"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""英文"",""th"":""泰语""},""countryNameMap"":{""zh"":""泰国站"",""en"":""Thailand Station"",""th"":""?????????""},""customerNameVn"":"""",""customerAddress"":""No. 270, Village No. 4, Nong Suea Chang Subdistrict, Nong Yai District, Chonburi Province,THailand"",""jdContractName"":""JINGDONG INDUSTRIALS (THAILAND) CO, LTD"",""jdContractAddress"":""4/222 Moo 10 Tambon Tungsukla, Amphur Sriracha, Chonburi 20230, THAILAND."",""customerNameZh"":""欣旺达动力科技（泰国）有限公司"",""customerNameEn"":""SUNWODA AUTOMOTIVE ENERGY TECHNOLOGY (THAILAND) CO.,LTD."",""customerTax"":""0205567024124"",""customerServiceStart"":""2024-11-25"",""customerServiceEnd"":""2027-11-24"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""sunyaning8"",""审批人3"":""pithak.vatmon1""},""merchantId"":""10153""}",0,泰国 - 欣旺达
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""EVE ENERGY MALAYSIA SDN. BHD."",""clientCode"":""eTBtVDeleOfn07ongfMg"",""briefCode"":""EVE-MY"",""contractCode"":""ISPG-20241211162903"",""ebsContractCode"":"""",""pin"":""EVEIOPPO"",""country"":""MY"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""MYR"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIMY-EVE-MY"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""JDi马来内贸段交易"",""iopId"":""5"",""hoursOfAutoFinish"":168,""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""马来西亚站"",""en"":""Malaysia Station"",""ms"":""Stesen Malaysia""},""customerNameVn"":""EVE ENERGY MALAYSIA SDN. BHD."",""customerAddress"":""1"",""jdContractName"":"""",""jdContractAddress"":"""",""customerNameZh"":""亿纬锂能马来有限公司"",""customerNameEn"":""EVE ENERGY MALAYSIA SDN. BHD."",""customerTax"":""202201032212(1477909-M)"",""customerServiceStart"":""2024-12-16"",""customerServiceEnd"":""2027-12-15"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""chiamin.ng1"",""审批人3"":""chenjiaoru""},""merchantId"":""10153""}",0,马来 - 亿纬锂能
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""GLOBAL HANTEX CO.,LTD"",""clientCode"":""SogB63kKeyvQ3TIrPG2B"",""briefCode"":""HANTEX"",""contractCode"":""ISPG-20241210172858"",""ebsContractCode"":""EKA2024A1950797"",""pin"":""HANTEX-Purchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-HANTEX"",""companyType"":""2"",""wispOrderListShowStatus"":[1,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0"",""closeUserConfirmPrice"":""1"",""autoConfirmLocalOrder"":true,""autoConfirmStockUpOrder"":true,""autoConfirmCrossBorderOrder"":false},""storeId"":24682489,""iopPin"":""VNKUAJING"",""iopId"":""4"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Tr?m Vi?t Nam""},""customerNameVn"":""GLOBAL HANTEX CO.,LTD"",""customerAddress"":""L? s? 32-1 ??n 32-16,Khu c?ng nghi?p Ph??c ??ng,X? Ph??c ??ng,Huy?n Gò D?u, T?nh T?y Ninh, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""环球汉莎有限公司"",""customerNameEn"":""GLOBAL HANTEX CO.,LTD"",""customerTax"":""3901171694"",""customerServiceStart"":""2024年11月11日"",""customerServiceEnd"":""2025年11月10日"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""wangyan138"",""审批人3"":""thanhthao.truongth1""},""merchantId"":""10153""}",0,越南 - 申洲集团
